Arquivo, Items, Limite, Resposta, Tempo (microsegundos)
f10_l-d_kp_20_879 , 100 , 995 , 9147 , 1286
f2_l-d_kp_20_878  , 100 , 995 , 1514 , 1302
f4_l-d_kp_4_11 , 100 , 997 , 2397 , 1363
f6_l-d_kp_10_60 , 200 , 1008 , 11238 , 2789
f8_l-d_kp_23_10000 , 200 , 1008 , 1634 , 2817
f1_l-d_kp_10_269 , 200 , 997 , 2697 , 2703
f3_l-d_kp_4_20 , 500 , 2543 , 28857 , 25752
f5_l-d_kp_15_375 , 500 , 2543 , 4566 , 20837
f7_l-d_kp_7_50 , 500 , 2517 , 7117 , 20893
