Arquivo, Items, Limite, Resposta, Tempo (microsegundos)
f10_l-d_kp_20_879 , 100 , 995 , 9147 , 1534
f2_l-d_kp_20_878  , 100 , 995 , 1514 , 428
f4_l-d_kp_4_11 , 100 , 997 , 2397 , 6338
f6_l-d_kp_10_60 , 200 , 1008 , 11238 , 6603
f8_l-d_kp_23_10000 , 200 , 1008 , 1634 , 1384
f1_l-d_kp_10_269 , 200 , 997 , 2697 , 108567

